TIMESTAMP,RECORD,Measure_1,Measure_2,Measure_3,Measure_4
2025-02-12 01:50:00,94844,-3.505208,-3.502404,8.007217,7.8706
2025-02-12 01:55:00,94845,-3.504407,-3.498932,7.999873,7.873405
2025-02-12 02:00:00,94846,-3.503873,-3.503072,8.005482,7.871535
2025-02-12 02:05:00,94847,-3.501736,-3.502404,8.005349,7.882352
2025-02-12 02:10:00,94848,-3.503472,-3.50187,8.002543,7.880883
2025-02-12 02:15:00,94849,-3.501736,-3.499332,8.001208,7.88115
2025-02-12 02:20:00,94850,-3.503739,-3.498798,7.994265,7.877144
2025-02-12 02:25:00,94851,-3.504006,-3.50187,7.988522,7.879949
2025-02-12 02:30:00,94852,-3.51242,-3.500401,8.00161,7.87661
2025-02-12 02:35:00,94853,-3.499466,-3.502003,8.000275,7.875809
2025-02-12 02:40:00,94854,-3.501736,-3.502404,8.002945,7.876076
2025-02-12 02:45:00,94855,-3.502537,-3.500267,7.997469,7.872738
2025-02-12 02:50:00,94856,-3.502537,-3.500801,7.998537,7.876342
2025-02-12 02:55:00,94857,-3.502404,-3.5,7.998805,7.872738
2025-02-12 03:00:00,94858,-3.501736,-3.502404,7.999473,7.872336
2025-02-12 03:05:00,94859,-3.502404,-3.501736,7.998271,7.874474
2025-02-12 03:10:00,94860,-3.50227,-3.503072,7.997202,7.860984
2025-02-12 03:15:00,94861,-3.503072,-3.503606,7.996669,7.867529
2025-02-12 03:20:00,94862,-3.502404,-3.50187,7.997603,7.870467
2025-02-12 03:25:00,94863,-3.50227,-3.49773,7.998805,7.869132
2025-02-12 03:30:00,94864,-3.503606,-3.500801,7.996801,7.870467
2025-02-12 03:35:00,94865,-3.502805,-3.502537,7.994665,7.869265
2025-02-12 03:40:00,94866,-3.505609,-3.502938,7.995601,7.868597
2025-02-12 03:45:00,94867,-3.501736,-3.497062,7.993196,7.869265
2025-02-12 03:50:00,94868,-3.508814,-3.502671,7.986786,7.868597
2025-02-12 03:55:00,94869,-3.502938,-3.499599,7.995333,7.870734
2025-02-12 04:00:00,94870,-3.502537,-3.501603,8.003479,7.867128
2025-02-12 04:05:00,94871,-3.503739,-3.500534,7.992395,7.864725
2025-02-12 04:10:00,94872,-3.503072,-3.502404,7.990125,7.868464
2025-02-12 04:15:00,94873,-3.50227,-3.502671,7.990659,7.869665
2025-02-12 04:20:00,94874,-3.503606,-3.502537,8.008288,7.867262
2025-02-12 04:25:00,94875,-3.502938,-3.498798,7.986652,7.867395
2025-02-12 04:30:00,94876,-3.502003,-3.503072,7.992262,7.866593
2025-02-12 04:35:00,94877,-3.502938,-3.5,7.987453,7.864457
2025-02-12 04:40:00,94878,-3.501736,-3.499599,7.989991,7.865126
2025-02-12 04:45:00,94879,-3.500801,-3.500534,7.976904,7.865126
2025-02-12 04:50:00,94880,-3.507612,-3.50227,8.002144,7.863256
2025-02-12 04:55:00,94881,-3.502938,-3.501335,7.985584,7.865126
2025-02-12 05:00:00,94882,-3.502003,-3.500534,7.987453,7.863256
2025-02-12 05:05:00,94883,-3.502938,-3.500401,7.99186,7.86419
2025-02-12 05:10:00,94884,-3.503873,-3.50187,7.988522,7.862454
2025-02-12 05:15:00,94885,-3.504273,-3.500401,7.989991,7.864058
2025-02-12 05:20:00,94886,-3.504941,-3.500534,7.989724,7.862987
2025-02-12 05:25:00,94887,-3.501736,-3.50187,7.988522,7.860051
2025-02-12 05:30:00,94888,-3.511619,-3.502537,7.98692,7.854708
2025-02-12 05:35:00,94889,-3.501736,-3.501736,7.986786,7.856444
2025-02-12 05:40:00,94890,-3.504808,-3.502537,7.98772,7.8503
2025-02-12 05:45:00,94891,-3.504407,-3.503072,7.985718,7.860316
2025-02-12 05:50:00,94892,-3.504941,-3.500668,7.983447,7.856444
2025-02-12 05:55:00,94893,-3.501736,-3.502537,7.98465,7.857912
2025-02-12 06:00:00,94894,-3.503205,-3.502537,7.99186,7.863923
2025-02-12 06:05:00,94895,-3.501202,-3.501068,7.983715,7.859248
2025-02-12 06:10:00,94896,-3.502938,-3.503739,7.981176,7.856977
2025-02-12 06:15:00,94897,-3.503606,-3.503472,7.980108,7.856844
2025-02-12 06:20:00,94898,-3.502537,-3.500668,7.981978,7.853773
2025-02-12 06:25:00,94899,-3.500935,-3.498932,7.982112,7.85404
2025-02-12 06:30:00,94900,-3.508414,-3.498798,7.982246,7.85404
2025-02-12 06:35:00,94901,-3.502938,-3.502003,7.976103,7.854306
2025-02-12 06:40:00,94902,-3.501202,-3.503072,7.982246,7.854841
2025-02-12 06:45:00,94903,-3.503606,-3.500534,7.981044,7.857379
2025-02-12 06:50:00,94904,-3.50187,-3.501603,7.97637,7.848564
2025-02-12 06:55:00,94905,-3.50227,-3.501068,7.979441,7.850434
2025-02-12 07:00:00,94906,-3.501603,-3.501603,7.980243,7.854574
2025-02-12 07:05:00,94907,-3.503606,-3.502404,7.982112,7.854574
2025-02-12 07:10:00,94908,-3.499866,-3.501202,7.976637,7.848432
2025-02-12 07:15:00,94909,-3.50227,-3.501335,7.976502,7.853506
2025-02-12 07:20:00,94910,-3.503205,-3.503205,7.97904,7.851102
2025-02-12 07:25:00,94911,-3.501202,-3.501068,7.976637,7.850034
2025-02-12 07:30:00,94912,-3.503873,-3.502938,7.983848,7.85404
2025-02-12 07:35:00,94913,-3.502938,-3.502404,7.980643,7.85177
2025-02-12 07:40:00,94914,-3.503072,-3.500401,7.97677,7.848965
2025-02-12 07:45:00,94915,-3.501736,-3.50187,7.977171,7.844291
2025-02-12 07:50:00,94916,-3.504273,-3.50414,7.975702,7.850434
2025-02-12 07:55:00,94917,-3.503072,-3.498531,7.973699,7.844025
2025-02-12 08:00:00,94918,-3.510149,-3.500935,7.9745,7.848432
2025-02-12 08:05:00,94919,-3.501603,-3.502537,7.973298,7.850702
2025-02-12 08:10:00,94920,-3.500534,-3.497863,7.972363,7.818516
2025-02-12 08:15:00,94921,-3.504407,-3.50227,7.977304,7.848699
2025-02-12 08:20:00,94922,-3.501736,-3.502938,7.970359,7.843758
2025-02-12 08:25:00,94923,-3.502404,-3.499199,7.971295,7.844025
2025-02-12 08:30:00,94924,-3.504273,-3.501202,7.973967,7.84389
2025-02-12 08:35:00,94925,-3.50227,-3.502537,7.970759,7.843758
2025-02-12 08:40:00,94926,-3.500801,-3.501469,7.957005,7.829868
2025-02-12 08:45:00,94927,-3.50187,-3.503205,7.985584,7.836946
2025-02-12 08:50:00,94928,-3.503739,-3.50187,7.97677,7.846428
2025-02-12 08:55:00,94929,-3.502137,-3.499332,7.963549,7.845226
2025-02-12 09:00:00,94930,-3.503606,-3.503072,7.973432,7.84389
2025-02-12 09:05:00,94931,-3.502938,-3.499332,7.973832,7.84389
2025-02-12 09:10:00,94932,-3.510149,-3.500668,7.967689,7.841887
2025-02-12 09:15:00,94933,-3.501603,-3.500401,7.972631,7.838016
2025-02-12 09:20:00,94934,-3.508414,-3.501736,7.968223,7.84269
2025-02-12 09:25:00,94935,-3.502537,-3.503606,7.965818,7.839484
2025-02-12 09:30:00,94936,-3.502404,-3.500935,7.961546,7.840686
2025-02-12 09:35:00,94937,-3.500668,-3.503739,7.951663,7.838549
2025-02-12 09:40:00,94938,-3.504941,-3.500534,7.963816,7.839617
2025-02-12 09:45:00,94939,-3.501202,-3.50187,7.96248,7.846828
2025-02-12 09:50:00,94940,-3.504006,-3.500801,7.964885,7.839084
2025-02-12 09:55:00,94941,-3.502003,-3.5,7.964083,7.840686
2025-02-12 10:00:00,94942,-3.49773,-3.503339,7.945786,7.839351
2025-02-12 10:05:00,94943,-3.503072,-3.500534,7.965953,7.840152
2025-02-12 10:10:00,94944,-3.50227,-3.503606,7.962079,7.832006
2025-02-12 10:15:00,94945,-3.501603,-3.503205,7.96956,7.829335
2025-02-12 10:20:00,94946,-3.502137,-3.500267,7.965017,7.839216
2025-02-12 10:25:00,94947,-3.50187,-3.499199,7.966085,7.836012
2025-02-12 10:30:00,94948,-3.503739,-3.5,7.964083,7.84309
2025-02-12 10:35:00,94949,-3.502404,-3.503072,7.965151,7.833741
2025-02-12 10:40:00,94950,-3.509749,-3.502404,7.953399,7.834809
2025-02-12 10:45:00,94951,-3.501603,-3.499332,7.962881,7.848432
2025-02-12 10:50:00,94952,-3.502003,-3.501335,7.960343,7.836546
2025-02-12 10:55:00,94953,-3.500801,-3.500534,7.963949,7.829468
2025-02-12 11:00:00,94954,-3.50187,-3.502404,7.962079,7.837348
2025-02-12 11:05:00,94955,-3.504273,-3.500134,7.962347,7.846828
2025-02-12 11:10:00,94956,-3.504407,-3.501469,7.960878,7.83254
2025-02-12 11:15:00,94957,-3.503072,-3.500534,7.95794,7.824526
2025-02-12 11:20:00,94958,-3.502537,-3.500267,7.960477,7.831203
2025-02-12 11:25:00,94959,-3.502938,-3.501736,7.960211,7.833474
2025-02-12 11:30:00,94960,-3.504941,-3.502938,7.958875,7.831471
2025-02-12 11:35:00,94961,-3.503606,-3.500534,7.955537,7.833608
2025-02-12 11:40:00,94962,-3.505075,-3.499866,7.957405,7.833875
2025-02-12 11:45:00,94963,-3.502537,-3.502003,7.953934,7.831338
2025-02-12 11:50:00,94964,-3.510951,-3.502404,7.959141,7.824926
2025-02-12 11:55:00,94965,-3.504808,-3.5,7.957273,7.830536
2025-02-12 12:00:00,94966,-3.505609,-3.502537,7.956605,7.828533
2025-02-12 12:05:00,94967,-3.502404,-3.502537,7.960211,7.830403
2025-02-12 12:10:00,94968,-3.502404,-3.501202,7.955002,7.828264
2025-02-12 12:15:00,94969,-3.502938,-3.502404,7.954334,7.828668
2025-02-12 12:20:00,94970,-3.501202,-3.502671,7.955402,7.827597
2025-02-12 12:25:00,94971,-3.50227,-3.501202,7.954067,7.827196
2025-02-12 12:30:00,94972,-3.501068,-3.503873,7.963147,7.829335
2025-02-12 12:35:00,94973,-3.504006,-3.500134,7.955537,7.827196
2025-02-12 12:40:00,94974,-3.502137,-3.502003,7.953399,7.827065
